
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kobe Bryant,LAL,29:14,12,23,3,8,0,0,1,3,4,4,4,0,1,0,27,.522,.375,
Chris Paul,NOH,29:14,7,14,0,1,0,0,1,6,7,14,3,0,1,4,14,.500,.000,
Amar'e Stoudemire,PHO,24:36,7,10,0,0,5,6,3,3,6,0,0,0,2,1,19,.700,,.833
Tim Duncan,SAS,18:01,3,5,0,0,0,0,0,3,3,2,1,1,2,1,6,.600,,
Yao Ming,HOU,12:23,1,4,0,0,0,0,0,3,3,0,0,1,1,2,2,.250,,
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Brandon Roy,POR,31:10,7,8,0,0,0,0,0,5,5,5,0,0,0,2,14,.875,,
Tony Parker,SAS,20:08,7,11,0,2,0,0,0,4,4,4,2,0,2,0,14,.636,.000,
Chauncey Billups,DEN,19:09,2,5,1,3,0,0,0,2,2,3,1,0,3,2,5,.400,.333,
Pau Gasol,LAL,16:55,5,7,0,0,4,4,2,6,8,1,1,1,0,2,14,.714,,1.000
David West,NOH,14:09,3,5,0,0,0,0,1,2,3,0,1,0,0,2,6,.600,,
Dirk Nowitzki,DAL,14:05,3,5,0,0,2,2,0,1,1,1,0,0,0,0,8,.600,,1.000
Shaquille O'Neal,PHO,10:56,8,9,0,0,1,4,4,1,5,3,0,1,2,1,17,.889,,.250
Team Totals,,240,65,106,4,14,12,16,12,39,51,37,13,4,14,17,146,.613,.286,.750
