
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Steve Nash,PHO,27:34,1,2,0,0,0,0,1,4,5,6,1,0,2,2,2,.500,,
Tracy McGrady,HOU,26:40,15,26,4,10,2,7,0,0,0,2,1,0,1,1,36,.577,.400,.286
Kobe Bryant,LAL,26:15,4,11,0,5,0,0,0,7,7,8,3,0,3,5,8,.364,.000,
Tim Duncan,SAS,20:55,6,7,0,0,3,3,6,4,10,1,1,1,5,2,15,.857,,1.000
Yao Ming,HOU,19:14,2,5,0,0,1,2,0,2,2,1,1,0,0,2,5,.400,,.500
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tony Parker,SAS,20:26,3,8,0,1,2,2,0,0,0,4,0,0,5,1,8,.375,.000,1.000
Ray Allen,SEA,18:00,4,13,0,7,0,0,0,2,2,1,0,0,1,2,8,.308,.000,
Shawn Marion,PHO,17:15,5,9,0,0,4,7,4,4,8,0,1,1,0,1,14,.556,,.571
Elton Brand,LAC,16:41,6,11,0,0,0,0,3,4,7,0,1,0,3,2,12,.545,,
Kevin Garnett,MIN,16:24,1,9,0,0,0,0,2,7,9,4,1,0,2,1,2,.111,,
Dirk Nowitzki,DAL,16:23,4,8,0,3,2,3,3,3,6,0,0,0,0,2,10,.500,.000,.667
Pau Gasol,MEM,14:13,0,3,0,0,0,0,6,6,12,1,0,0,1,1,0,.000,,
Team Totals,,240,51,112,4,26,14,24,25,43,68,28,10,2,23,22,120,.455,.154,.583
