
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Allen Iverson,PHI,32:00,4,14,0,0,7,7,0,4,4,10,5,0,7,0,15,.286,,1.000
LeBron James,CLE,31:00,6,13,1,4,0,1,1,7,8,6,2,0,3,0,13,.462,.250,.000
Shaquille O'Neal,MIA,25:00,6,11,0,1,0,3,0,6,6,1,3,3,0,2,12,.545,.000,.000
Vince Carter,NJN,18:00,4,8,3,5,0,0,0,3,3,1,0,0,2,0,11,.500,.600,
Grant Hill,ORL,18:00,3,6,0,0,0,0,2,2,4,2,1,0,1,1,6,.500,,
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Dwyane Wade,MIA,23:00,6,13,0,1,2,2,2,1,3,1,2,1,1,2,14,.462,.000,1.000
Jermaine O'Neal,IND,19:00,6,10,0,0,3,4,1,4,5,2,1,1,1,1,15,.600,,.750
Zydrunas Ilgauskas,CLE,17:00,5,8,0,0,2,2,3,4,7,1,0,2,1,2,12,.625,,1.000
Gilbert Arenas,WAS,15:00,3,11,1,3,0,0,1,1,2,3,0,0,0,1,7,.273,.333,
Ben Wallace,DET,15:00,3,7,0,0,0,0,4,3,7,0,0,0,2,2,6,.429,,
Paul Pierce,BOS,14:00,4,7,0,2,1,1,0,3,3,3,2,0,0,2,9,.571,.000,1.000
Antawn Jamison,WAS,13:00,2,5,1,1,0,0,1,3,4,1,0,0,0,0,5,.400,1.000,
Team Totals,,240,52,113,6,17,15,20,15,41,56,31,16,7,18,13,125,.460,.353,.750
