
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tim Duncan,SAS,22:23,2,7,0,1,0,0,4,5,9,1,1,1,4,1,4,.286,.000,
Carmelo Anthony,DEN,21:38,8,17,0,0,2,3,5,2,7,1,0,0,2,0,18,.471,,.667
Allen Iverson,DEN,20:44,3,7,0,0,1,2,1,1,2,6,4,1,6,0,7,.429,,.500
Yao Ming,HOU,13:17,2,5,0,2,2,2,1,4,5,1,0,0,1,0,6,.400,.000,1.000
Kobe Bryant,LAL,2:52,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Brandon Roy,POR,28:34,8,10,2,3,0,0,1,8,9,5,1,1,0,2,18,.800,.667,
Chris Paul,NOH,27:16,7,14,2,6,0,0,2,1,3,14,4,0,2,5,16,.500,.333,
Dirk Nowitzki,DAL,25:41,5,14,1,4,2,2,1,3,4,2,0,0,2,0,13,.357,.250,1.000
Amar'e Stoudemire,PHO,23:07,8,11,1,2,1,3,0,5,5,0,1,1,1,2,18,.727,.500,.333
Steve Nash,PHO,19:42,4,8,0,1,0,0,0,0,0,6,0,1,1,3,8,.500,.000,
Carlos Boozer,UTA,18:30,7,15,0,0,0,2,4,6,10,0,0,0,1,0,14,.467,,.000
David West,NOH,16:16,3,6,0,0,0,0,2,2,4,1,0,0,1,1,6,.500,,
Team Totals,,240,57,114,6,19,8,14,21,38,59,37,11,5,21,14,128,.500,.316,.571
