
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
LeBron James,CLE,32:16,11,20,4,8,2,2,0,6,6,6,1,0,4,0,28,.550,.500,1.000
Dwyane Wade,MIA,24:22,5,12,0,0,0,0,0,0,0,3,6,0,5,2,10,.417,,
Chris Bosh,TOR,22:29,5,7,0,0,1,2,3,4,7,1,0,0,0,0,11,.714,,.500
Gilbert Arenas,WAS,19:48,3,8,2,7,0,0,0,1,1,4,2,0,1,0,8,.375,.286,
Shaquille O'Neal,MIA,17:15,5,13,0,0,0,0,4,2,6,1,0,1,1,1,10,.385,,
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Jermaine O'Neal,IND,22:36,4,8,0,0,0,0,3,4,7,1,0,2,1,1,8,.500,,
Dwight Howard,ORL,20:39,10,14,0,0,0,5,7,5,12,1,0,1,3,0,20,.714,,.000
Joe Johnson,ATL,17:33,5,9,2,5,0,0,0,1,1,2,1,0,1,1,12,.556,.400,
Chauncey Billups,DET,16:12,3,8,0,3,2,2,1,3,4,6,0,0,0,0,8,.375,.000,1.000
Vince Carter,NJN,16:12,3,7,0,1,1,2,0,1,1,2,0,0,1,1,7,.429,.000,.500
Caron Butler,WAS,15:38,1,7,0,0,0,0,3,1,4,1,0,0,1,0,2,.143,,
Richard Hamilton,DET,15:00,4,8,0,1,0,0,2,4,6,1,0,0,2,1,8,.500,.000,
Team Totals,,240,59,121,8,25,6,13,23,32,55,29,10,4,20,7,132,.488,.320,.462
