
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Dwyane Wade,MIA,30:39,9,11,0,0,2,2,3,1,4,3,2,1,3,1,20,.818,,1.000
LeBron James,CLE,30:34,12,21,4,10,1,5,2,4,6,2,2,0,1,2,29,.571,.400,.200
Allen Iverson,PHI,26:14,5,14,0,0,2,4,0,2,2,2,0,0,3,0,12,.357,,.500
Shaquille O'Neal,MIA,22:34,7,9,0,0,3,5,3,6,9,4,1,0,2,5,17,.778,,.600
Vince Carter,NJN,17:40,2,5,0,0,1,2,1,3,4,2,1,0,2,3,5,.400,,.500
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Ben Wallace,DET,24:18,0,1,0,0,0,2,0,8,8,2,3,2,0,3,0,.000,,.000
Rasheed Wallace,DET,17:19,1,6,0,4,0,0,0,2,2,0,1,0,0,1,2,.167,.000,
Chris Bosh,TOR,16:35,3,7,0,0,2,3,2,6,8,2,0,0,1,1,8,.429,,.667
Chauncey Billups,DET,15:48,6,10,2,5,1,1,0,4,4,7,0,0,2,1,15,.600,.400,1.000
Paul Pierce,BOS,15:00,3,6,0,0,1,2,0,2,2,1,1,0,0,0,7,.500,,.500
Richard Hamilton,DET,13:28,3,7,0,0,0,0,0,0,0,1,0,0,1,1,6,.429,,
Gilbert Arenas,WAS,9:51,0,4,0,2,1,2,0,0,0,1,1,0,1,1,1,.000,.000,.500
Team Totals,,240,51,101,6,21,14,28,11,38,49,27,12,3,16,19,122,.505,.286,.500
